filename,llm_description
m-a-v-2019-16852-diligence-postale-colombier-rochefort-a-bole-devant-l-hotel-du-guillaume-tell-fin-19e-siecle.jpeg,"Voiture, chevaux, diligence, facteur."
m-a-v-2019-16852-groupe-de-vendangeurs-et-vendangeuses-fin-du-19e-siecle.jpeg,"Vendange, vigne, vendangeur, enfant."
m-a-v-2019-16868-001-allee-bourbakis-1899.jpeg,"allée, arbres, piétons."
m-a-v-2019-16868-002-allee-du-port-1899.jpeg,"Arbre, chemin, parc, église."
m-a-v-2019-16868-003-gare-regionale-1899.jpeg,"Gare, train, voyageurs, bâtiments, voie ferrée."
m-a-v-2019-16868-004-rue-basse-1899.jpeg,"famille, rue, village, architecture, XIXe siècle"
m-a-v-2019-16868-005-gare-regionale-1899.jpeg,"Gare, chemin de fer, train, buffet."
m-a-v-2019-16868-006-anciens-abattoirs-1899.jpeg,"Maison, enfants, panier, village, campagne."
m-a-v-2019-16868-007-escaliers-de-l-eglise-1899.jpeg,"enfants, architecture, entrée, bâtiment, banc"
m-a-v-2019-16868-008-anciens-abattoirs-1899.jpeg,"Maison, enfants, ferme, village."
m-a-v-2019-16868-009-la-carriere-1899.jpeg,"Troupeau, vache, pâturage, montagne."
m-a-v-2019-16869-001-auvernier-bas-du-village-greve-apres-l-abaissement-des-eaux-du-lac-octobre-1885.jpeg,"rivière, maisons, quai, village, eau."
m-a-v-2019-16869-002-auvernier-bas-du-village-ruelle-du-petit-port-1885.jpeg,"Bâtiment, maison, cour, ruelle, architecture."
m-a-v-2019-16869-003-auvernier-bas-du-village-environ-1892.jpeg,"rivière, maisons, rive, village, barque."
m-a-v-2019-16873-001-photographie-1.jpeg,"Maison, vignoble, village, architecture."
m-a-v-2019-16873-002-photographie-2.jpeg,"Village, lac, rivière, maison, montagne."
m-a-v-2019-16873-003-photographie-3.jpeg,"Bateaux, lac, village, vignes, maisons."
m-a-v-2019-16873-004-photographie-4.jpeg,"vignes, lac, village, montagne."
